episode,batch_episode_steps,epsilon,intrinsic_weight
390,94,0.141580,1.000000
391,86,0.140872,1.000000
392,93,0.140168,1.000000
393,84,0.139467,1.000000
394,92,0.138769,1.000000
395,109,0.138076,1.000000
396,82,0.137385,1.000000
397,115,0.136698,1.000000
398,98,0.136015,1.000000
399,105,0.135335,1.000000
400,90,0.134658,1.000000
401,82,0.133985,1.000000
402,90,0.133315,1.000000
403,88,0.132648,1.000000
404,86,0.131985,1.000000
405,88,0.131325,1.000000
406,84,0.130668,1.000000
407,86,0.130015,1.000000
408,88,0.129365,1.000000
409,90,0.128718,1.000000
410,94,0.128075,1.000000
411,92,0.127434,1.000000
412,91,0.126797,1.000000
413,86,0.126163,1.000000
414,87,0.125532,1.000000
415,122,0.124905,1.000000
416,86,0.124280,1.000000
417,90,0.123659,1.000000
418,115,0.123040,1.000000
419,92,0.122425,1.000000
420,82,0.121813,1.000000
421,88,0.121204,1.000000
422,118,0.120598,1.000000
423,89,0.119995,1.000000
424,74,0.119395,1.000000
425,80,0.118798,1.000000
426,74,0.118204,1.000000
427,78,0.117613,1.000000
428,78,0.117025,1.000000
429,72,0.116440,1.000000
430,82,0.115858,1.000000
431,76,0.115278,1.000000
432,86,0.114702,1.000000
433,84,0.114128,1.000000
434,96,0.113558,1.000000
435,90,0.112990,1.000000
436,80,0.112425,1.000000
437,86,0.111863,1.000000
438,122,0.111304,1.000000
439,90,0.110747,1.000000
440,85,0.110193,1.000000
441,88,0.109642,1.000000
442,93,0.109094,1.000000
443,90,0.108549,1.000000
444,84,0.108006,1.000000
445,88,0.107466,1.000000
446,90,0.106929,1.000000
447,122,0.106394,1.000000
448,90,0.105862,1.000000
449,88,0.105333,1.000000
450,105,0.104806,1.000000
451,90,0.104282,1.000000
452,94,0.103761,1.000000
453,90,0.103242,1.000000
454,96,0.102726,1.000000
455,107,0.102212,1.000000
456,89,0.101701,1.000000
457,86,0.101192,1.000000
458,92,0.100686,1.000000
459,94,0.100183,1.000000
460,92,0.099682,1.000000
461,94,0.099184,1.000000
462,96,0.098688,1.000000
463,96,0.098194,1.000000
464,86,0.097703,1.000000
465,90,0.097215,1.000000
466,86,0.096729,1.000000
467,86,0.096245,1.000000
468,82,0.095764,1.000000
469,78,0.095285,1.000000
470,80,0.094809,1.000000
471,82,0.094335,1.000000
472,90,0.093863,1.000000
473,100,0.093394,1.000000
474,90,0.092927,1.000000
475,92,0.092462,1.000000
476,96,0.092000,1.000000
477,111,0.091540,1.000000
478,96,0.091082,1.000000
479,94,0.090627,1.000000
480,130,0.090173,1.000000
481,94,0.089723,1.000000
482,90,0.089274,1.000000
483,125,0.088828,1.000000
484,90,0.088383,1.000000
485,90,0.087942,1.000000
486,94,0.087502,1.000000
487,92,0.087064,1.000000
488,97,0.086629,1.000000
489,92,0.086196,1.000000
490,97,0.085765,1.000000
491,97,0.085336,1.000000
492,96,0.084909,1.000000
493,96,0.084485,1.000000
494,94,0.084062,1.000000
495,92,0.083642,1.000000
496,96,0.083224,1.000000
497,92,0.082808,1.000000
498,90,0.082394,1.000000
499,92,0.081982,1.000000
500,96,0.081572,1.000000
501,97,0.081164,1.000000
502,94,0.080758,1.000000
503,92,0.080354,1.000000
504,90,0.079953,1.000000
505,94,0.079553,1.000000
506,95,0.079155,1.000000
507,88,0.078759,1.000000
508,94,0.078366,1.000000
509,97,0.077974,1.000000
510,130,0.077584,1.000000
511,94,0.077196,1.000000
512,89,0.076810,1.000000
513,94,0.076426,1.000000
514,92,0.076044,1.000000
515,88,0.075664,1.000000
516,92,0.075285,1.000000
517,90,0.074909,1.000000
518,95,0.074534,1.000000
519,92,0.074162,1.000000
520,93,0.073791,1.000000
521,96,0.073422,1.000000
522,96,0.073055,1.000000
523,94,0.072689,1.000000
524,97,0.072326,1.000000
525,107,0.071964,1.000000
526,96,0.071605,1.000000
527,92,0.071247,1.000000
528,91,0.070890,1.000000
529,90,0.070536,1.000000
530,96,0.070183,1.000000
531,97,0.069832,1.000000
532,96,0.069483,1.000000
533,96,0.069136,1.000000
534,96,0.068790,1.000000
535,92,0.068446,1.000000
536,96,0.068104,1.000000
537,94,0.067763,1.000000
538,96,0.067424,1.000000
539,92,0.067087,1.000000
540,94,0.066752,1.000000
541,94,0.066418,1.000000
542,97,0.066086,1.000000
543,124,0.065756,1.000000
544,96,0.065427,1.000000
545,96,0.065100,1.000000
546,96,0.064774,1.000000
547,96,0.064450,1.000000
548,94,0.064128,1.000000
549,97,0.063807,1.000000
550,96,0.063488,1.000000
551,97,0.063171,1.000000
552,94,0.062855,1.000000
553,94,0.062541,1.000000
554,97,0.062228,1.000000
555,92,0.061917,1.000000
556,96,0.061607,1.000000
557,92,0.061299,1.000000
558,90,0.060993,1.000000
559,94,0.060688,1.000000
560,94,0.060384,1.000000
561,97,0.060083,1.000000
562,96,0.059782,1.000000
563,94,0.059483,1.000000
564,94,0.059186,1.000000
565,92,0.058890,1.000000
566,108,0.058595,1.000000
567,116,0.058302,1.000000
568,94,0.058011,1.000000
569,90,0.057721,1.000000
570,94,0.057432,1.000000
571,94,0.057145,1.000000
572,97,0.056859,1.000000
573,94,0.056575,1.000000
574,97,0.056292,1.000000
575,92,0.056011,1.000000
576,92,0.055731,1.000000
577,96,0.055452,1.000000
578,97,0.055175,1.000000
579,97,0.054899,1.000000
580,99,0.054624,1.000000
581,96,0.054351,1.000000
582,96,0.054080,1.000000
583,96,0.053809,1.000000
584,94,0.053540,1.000000
585,96,0.053272,1.000000
586,96,0.053006,1.000000
587,94,0.052741,1.000000
588,96,0.052477,1.000000
589,99,0.052215,1.000000
590,96,0.051954,1.000000
591,97,0.051694,1.000000
592,96,0.051436,1.000000
593,96,0.051178,1.000000
594,116,0.050923,1.000000
595,94,0.050668,1.000000
596,94,0.050415,1.000000
597,92,0.050163,1.000000
598,93,0.049912,1.000000
599,94,0.049662,1.000000
600,92,0.049414,1.000000
601,94,0.049167,1.000000
602,93,0.048921,1.000000
603,94,0.048676,1.000000
604,94,0.048433,1.000000
605,94,0.048191,1.000000
606,92,0.047950,1.000000
607,96,0.047710,1.000000
608,94,0.047472,1.000000
609,149,0.047234,1.000000
610,96,0.046998,1.000000
611,145,0.046763,1.000000
612,94,0.046529,1.000000
613,92,0.046297,1.000000
614,99,0.046065,1.000000
615,99,0.045835,1.000000
616,97,0.045606,1.000000
617,96,0.045378,1.000000
618,97,0.045151,1.000000
619,94,0.044925,1.000000
620,96,0.044700,1.000000
621,98,0.044477,1.000000
622,96,0.044254,1.000000
623,94,0.044033,1.000000
624,140,0.043813,1.000000
625,96,0.043594,1.000000
626,158,0.043376,1.000000
627,90,0.043159,1.000000
628,96,0.042943,1.000000
629,96,0.042729,1.000000
630,88,0.042515,1.000000
631,97,0.042302,1.000000
632,154,0.042091,1.000000
633,97,0.041880,1.000000
634,96,0.041671,1.000000
635,94,0.041463,1.000000
636,96,0.041255,1.000000
637,92,0.041049,1.000000
638,96,0.040844,1.000000
639,96,0.040640,1.000000
640,94,0.040436,1.000000
641,97,0.040234,1.000000
642,97,0.040033,1.000000
643,102,0.039833,1.000000
644,157,0.039634,1.000000
645,97,0.039435,1.000000
646,158,0.039238,1.000000
647,65,0.039042,1.000000
648,99,0.038847,1.000000
649,99,0.038653,1.000000
650,99,0.038459,1.000000
651,99,0.038267,1.000000
652,97,0.038076,1.000000
653,140,0.037885,1.000000
654,97,0.037696,1.000000
655,99,0.037507,1.000000
656,151,0.037320,1.000000
657,96,0.037133,1.000000
658,98,0.036948,1.000000
659,99,0.036763,1.000000
660,99,0.036579,1.000000
661,99,0.036396,1.000000
662,99,0.036214,1.000000
663,156,0.036033,1.000000
664,158,0.035853,1.000000
665,99,0.035674,1.000000
666,99,0.035495,1.000000
667,97,0.035318,1.000000
668,99,0.035141,1.000000
669,99,0.034966,1.000000
670,99,0.034791,1.000000
671,99,0.034617,1.000000
672,97,0.034444,1.000000
673,97,0.034272,1.000000
674,153,0.034100,1.000000
675,98,0.033930,1.000000
676,97,0.033760,1.000000
677,97,0.033591,1.000000
678,99,0.033423,1.000000
679,99,0.033256,1.000000
680,97,0.033090,1.000000
681,96,0.032924,1.000000
682,99,0.032760,1.000000
683,136,0.032596,1.000000
684,99,0.032433,1.000000
685,97,0.032271,1.000000
686,157,0.032109,1.000000
687,97,0.031949,1.000000
688,99,0.031789,1.000000
689,97,0.031630,1.000000
690,99,0.031472,1.000000
691,97,0.031315,1.000000
692,97,0.031158,1.000000
693,97,0.031002,1.000000
694,113,0.030847,1.000000
695,156,0.030693,1.000000
696,156,0.030540,1.000000
697,97,0.030387,1.000000
698,97,0.030235,1.000000
699,99,0.030084,1.000000
700,96,0.029933,1.000000
701,94,0.029784,1.000000
702,96,0.029635,1.000000
703,99,0.029487,1.000000
704,99,0.029339,1.000000
705,158,0.029193,1.000000
706,116,0.029047,1.000000
707,97,0.028901,1.000000
708,99,0.028757,1.000000
709,99,0.028613,1.000000
710,99,0.028470,1.000000
711,99,0.028328,1.000000
712,97,0.028186,1.000000
713,97,0.028045,1.000000
714,99,0.027905,1.000000
715,99,0.027765,1.000000
716,97,0.027626,1.000000
717,96,0.027488,1.000000
718,96,0.027351,1.000000
719,158,0.027214,1.000000
720,99,0.027078,1.000000
721,97,0.026943,1.000000
722,97,0.026808,1.000000
723,96,0.026674,1.000000
724,97,0.026541,1.000000
725,97,0.026408,1.000000
726,94,0.026276,1.000000
727,97,0.026144,1.000000
728,94,0.026014,1.000000
729,98,0.025884,1.000000
730,99,0.025754,1.000000
731,99,0.025625,1.000000
732,94,0.025497,1.000000
733,99,0.025370,1.000000
734,141,0.025243,1.000000
735,97,0.025117,1.000000
736,99,0.024991,1.000000
737,99,0.024866,1.000000
738,148,0.024742,1.000000
739,99,0.024618,1.000000
740,99,0.024495,1.000000
741,99,0.024373,1.000000
742,133,0.024251,1.000000
743,96,0.024130,1.000000
744,97,0.024009,1.000000
745,156,0.023889,1.000000
746,157,0.023769,1.000000
747,94,0.023651,1.000000
748,96,0.023532,1.000000
749,122,0.023415,1.000000
750,99,0.023298,1.000000
751,97,0.023181,1.000000
752,90,0.023065,1.000000
753,94,0.022950,1.000000
754,99,0.022835,1.000000
755,97,0.022721,1.000000
756,94,0.022607,1.000000
757,96,0.022494,1.000000
758,158,0.022382,1.000000
759,158,0.022270,1.000000
760,96,0.022159,1.000000
761,97,0.022048,1.000000
762,99,0.021938,1.000000
763,99,0.021828,1.000000
764,158,0.021719,1.000000
765,99,0.021610,1.000000
766,99,0.021502,1.000000
767,99,0.021395,1.000000
768,99,0.021288,1.000000
769,99,0.021181,1.000000
770,99,0.021075,1.000000
771,99,0.020970,1.000000
772,99,0.020865,1.000000
773,99,0.020761,1.000000
774,94,0.020657,1.000000
775,99,0.020554,1.000000
776,99,0.020451,1.000000
777,97,0.020349,1.000000
778,97,0.020247,1.000000
779,96,0.020146,1.000000
780,94,0.020045,1.000000
781,98,0.019945,1.000000
782,97,0.019845,1.000000
783,97,0.019746,1.000000
784,98,0.019647,1.000000
785,98,0.019549,1.000000
786,155,0.019451,1.000000
787,97,0.019354,1.000000
788,142,0.019257,1.000000
789,99,0.019161,1.000000
790,97,0.019065,1.000000
791,99,0.018970,1.000000
792,131,0.018875,1.000000
793,97,0.018780,1.000000
794,157,0.018686,1.000000
795,157,0.018593,1.000000
796,97,0.018500,1.000000
797,129,0.018408,1.000000
798,99,0.018315,1.000000
799,99,0.018224,1.000000
800,99,0.018133,1.000000
801,99,0.018042,1.000000
802,99,0.017952,1.000000
803,99,0.017862,1.000000
804,98,0.017773,1.000000
805,97,0.017684,1.000000
806,99,0.017596,1.000000
807,96,0.017508,1.000000
808,99,0.017420,1.000000
809,97,0.017333,1.000000
810,158,0.017246,1.000000
811,99,0.017160,1.000000
812,158,0.017074,1.000000
813,99,0.016989,1.000000
814,97,0.016904,1.000000
815,158,0.016819,1.000000
816,99,0.016735,1.000000
817,99,0.016652,1.000000
818,99,0.016568,1.000000
819,99,0.016486,1.000000
820,99,0.016403,1.000000
821,99,0.016321,1.000000
822,99,0.016239,1.000000
823,99,0.016158,1.000000
824,97,0.016078,1.000000
825,99,0.015997,1.000000
826,97,0.015917,1.000000
827,97,0.015838,1.000000
828,97,0.015758,1.000000
829,99,0.015680,1.000000
830,99,0.015601,1.000000
831,99,0.015523,1.000000
832,99,0.015446,1.000000
833,99,0.015368,1.000000
834,99,0.015291,1.000000
835,99,0.015215,1.000000
836,99,0.015139,1.000000
837,99,0.015063,1.000000
838,99,0.014988,1.000000
839,97,0.014913,1.000000
840,99,0.014838,1.000000
841,99,0.014764,1.000000
842,99,0.014690,1.000000
843,99,0.014617,1.000000
844,99,0.014544,1.000000
845,99,0.014471,1.000000
846,99,0.014399,1.000000
847,99,0.014327,1.000000
848,99,0.014255,1.000000
849,99,0.014184,1.000000
850,99,0.014113,1.000000
851,99,0.014042,1.000000
852,99,0.013972,1.000000
853,99,0.013902,1.000000
854,97,0.013833,1.000000
855,97,0.013764,1.000000
856,96,0.013695,1.000000
857,99,0.013626,1.000000
858,99,0.013558,1.000000
859,99,0.013490,1.000000
860,96,0.013423,1.000000
861,99,0.013356,1.000000
862,97,0.013289,1.000000
863,99,0.013223,1.000000
864,99,0.013157,1.000000
865,99,0.013091,1.000000
866,127,0.013025,1.000000
867,99,0.012960,1.000000
868,99,0.012895,1.000000
869,99,0.012831,1.000000
870,99,0.012767,1.000000
871,99,0.012703,1.000000
872,97,0.012639,1.000000
873,155,0.012576,1.000000
874,97,0.012513,1.000000
875,99,0.012451,1.000000
876,99,0.012389,1.000000
877,98,0.012327,1.000000
878,99,0.012265,1.000000
879,97,0.012204,1.000000
880,99,0.012143,1.000000
881,99,0.012082,1.000000
882,99,0.012021,1.000000
883,121,0.011961,1.000000
884,98,0.011902,1.000000
885,99,0.011842,1.000000
886,97,0.011783,1.000000
887,99,0.011724,1.000000
888,98,0.011665,1.000000
889,99,0.011607,1.000000
890,99,0.011549,1.000000
891,157,0.011491,1.000000
892,98,0.011434,1.000000
893,97,0.011377,1.000000
894,99,0.011320,1.000000
895,99,0.011263,1.000000
896,99,0.011207,1.000000
897,97,0.011151,1.000000
898,99,0.011095,1.000000
899,99,0.011040,1.000000
900,99,0.010984,1.000000
901,99,0.010929,1.000000
902,99,0.010875,1.000000
903,152,0.010820,1.000000
904,99,0.010766,1.000000
905,99,0.010712,1.000000
906,99,0.010659,1.000000
907,99,0.010606,1.000000
908,99,0.010553,1.000000
909,99,0.010500,1.000000
910,99,0.010447,1.000000
911,99,0.010395,1.000000
912,99,0.010343,1.000000
913,99,0.010291,1.000000
914,99,0.010240,1.000000
915,99,0.010189,1.000000
916,99,0.010138,1.000000
917,99,0.010087,1.000000
918,99,0.010037,1.000000
919,99,0.010000,1.000000
920,99,0.010000,1.000000
921,99,0.010000,1.000000
922,99,0.010000,1.000000
923,99,0.010000,1.000000
924,99,0.010000,1.000000
925,158,0.010000,1.000000
926,99,0.010000,1.000000
927,98,0.010000,1.000000
928,99,0.010000,1.000000
929,99,0.010000,1.000000
930,99,0.010000,1.000000
931,99,0.010000,1.000000
932,99,0.010000,1.000000
933,97,0.010000,1.000000
934,99,0.010000,1.000000
935,99,0.010000,1.000000
936,99,0.010000,1.000000
937,99,0.010000,1.000000
938,99,0.010000,1.000000
939,99,0.010000,1.000000
940,99,0.010000,1.000000
941,99,0.010000,1.000000
942,99,0.010000,1.000000
943,99,0.010000,1.000000
944,99,0.010000,1.000000
945,99,0.010000,1.000000
946,99,0.010000,1.000000
947,97,0.010000,1.000000
948,99,0.010000,1.000000
949,99,0.010000,1.000000
950,99,0.010000,1.000000
951,97,0.010000,1.000000
952,99,0.010000,1.000000
953,99,0.010000,1.000000
954,99,0.010000,1.000000
955,99,0.010000,1.000000
956,99,0.010000,1.000000
957,99,0.010000,1.000000
958,99,0.010000,1.000000
959,99,0.010000,1.000000
960,99,0.010000,1.000000
961,99,0.010000,1.000000
962,99,0.010000,1.000000
963,99,0.010000,1.000000
964,99,0.010000,1.000000
965,99,0.010000,1.000000
966,97,0.010000,1.000000
967,99,0.010000,1.000000
968,99,0.010000,1.000000
969,99,0.010000,1.000000
970,99,0.010000,1.000000
971,99,0.010000,1.000000
972,97,0.010000,1.000000
973,99,0.010000,1.000000
974,99,0.010000,1.000000
975,99,0.010000,1.000000
976,99,0.010000,1.000000
977,99,0.010000,1.000000
978,99,0.010000,1.000000
979,99,0.010000,1.000000
980,99,0.010000,1.000000
981,156,0.010000,1.000000
982,99,0.010000,1.000000
983,99,0.010000,1.000000
984,99,0.010000,1.000000
985,99,0.010000,1.000000
986,99,0.010000,1.000000
987,99,0.010000,1.000000
988,99,0.010000,1.000000
989,99,0.010000,1.000000
990,149,0.010000,1.000000
991,99,0.010000,1.000000
