episode,survival_steps_agent0,epsilon,intrinsic_weight,env_steps_all_agents,total_env_steps_cumulative
448,84,0.105862,1.000000,672,296528
449,126,0.105333,1.000000,1008,297536
450,88,0.104806,1.000000,704,298240
451,120,0.104282,1.000000,960,299200
452,90,0.103761,1.000000,720,299920
453,90,0.103242,1.000000,720,300640
454,97,0.102726,1.000000,776,301416
455,90,0.102212,1.000000,720,302136
456,88,0.101701,1.000000,704,302840
457,156,0.101192,1.000000,1248,304088
458,92,0.100686,1.000000,736,304824
459,107,0.100183,1.000000,856,305680
460,119,0.099682,1.000000,952,306632
461,117,0.099184,1.000000,936,307568
462,151,0.098688,1.000000,1208,308776
463,115,0.098194,1.000000,920,309696
464,92,0.097703,1.000000,736,310432
465,83,0.097215,1.000000,664,311096
466,94,0.096729,1.000000,752,311848
467,131,0.096245,1.000000,1048,312896
468,141,0.095764,1.000000,1128,314024
469,90,0.095285,1.000000,720,314744
470,92,0.094809,1.000000,736,315480
471,84,0.094335,1.000000,672,316152
472,92,0.093863,1.000000,736,316888
473,92,0.093394,1.000000,736,317624
474,156,0.092927,1.000000,1248,318872
475,109,0.092462,1.000000,872,319744
476,117,0.092000,1.000000,936,320680
477,145,0.091540,1.000000,1160,321840
478,92,0.091082,1.000000,736,322576
479,127,0.090627,1.000000,1016,323592
480,92,0.090173,1.000000,736,324328
481,94,0.089723,1.000000,752,325080
482,86,0.089274,1.000000,688,325768
483,88,0.088828,1.000000,704,326472
484,88,0.088383,1.000000,704,327176
485,96,0.087942,1.000000,768,327944
486,116,0.087502,1.000000,928,328872
487,141,0.087064,1.000000,1128,330000
488,94,0.086629,1.000000,752,330752
489,119,0.086196,1.000000,952,331704
490,94,0.085765,1.000000,752,332456
491,92,0.085336,1.000000,736,333192
492,94,0.084909,1.000000,752,333944
493,90,0.084485,1.000000,720,334664
494,95,0.084062,1.000000,760,335424
495,96,0.083642,1.000000,768,336192
496,125,0.083224,1.000000,1000,337192
497,127,0.082808,1.000000,1016,338208
498,94,0.082394,1.000000,752,338960
499,94,0.081982,1.000000,752,339712
500,94,0.081572,1.000000,752,340464
501,110,0.081164,1.000000,880,341344
502,94,0.080758,1.000000,752,342096
503,90,0.080354,1.000000,720,342816
504,153,0.079953,1.000000,1224,344040
505,96,0.079553,1.000000,768,344808
506,124,0.079155,1.000000,992,345800
507,96,0.078759,1.000000,768,346568
508,117,0.078366,1.000000,936,347504
509,134,0.077974,1.000000,1072,348576
510,151,0.077584,1.000000,1208,349784
511,111,0.077196,1.000000,888,350672
512,96,0.076810,1.000000,768,351440
513,98,0.076426,1.000000,784,352224
514,156,0.076044,1.000000,1248,353472
515,96,0.075664,1.000000,768,354240
516,92,0.075285,1.000000,736,354976
