episode,batch_episode_steps,epsilon,intrinsic_weight
562,94,0.059782,1.000000
563,98,0.059483,1.000000
564,96,0.059186,1.000000
565,97,0.058890,1.000000
566,96,0.058595,1.000000
567,96,0.058302,1.000000
568,90,0.058011,1.000000
569,93,0.057721,1.000000
570,98,0.057432,1.000000
571,96,0.057145,1.000000
572,96,0.056859,1.000000
573,94,0.056575,1.000000
574,94,0.056292,1.000000
575,96,0.056011,1.000000
576,94,0.055731,1.000000
577,96,0.055452,1.000000
578,94,0.055175,1.000000
579,96,0.054899,1.000000
580,97,0.054624,1.000000
581,94,0.054351,1.000000
582,96,0.054080,1.000000
583,97,0.053809,1.000000
584,97,0.053540,1.000000
585,99,0.053272,1.000000
586,97,0.053006,1.000000
587,97,0.052741,1.000000
588,99,0.052477,1.000000
589,94,0.052215,1.000000
590,97,0.051954,1.000000
591,96,0.051694,1.000000
592,98,0.051436,1.000000
593,97,0.051178,1.000000
594,97,0.050923,1.000000
595,94,0.050668,1.000000
596,96,0.050415,1.000000
597,96,0.050163,1.000000
598,97,0.049912,1.000000
599,96,0.049662,1.000000
600,96,0.049414,1.000000
601,97,0.049167,1.000000
602,97,0.048921,1.000000
603,98,0.048676,1.000000
604,97,0.048433,1.000000
605,99,0.048191,1.000000
606,94,0.047950,1.000000
607,97,0.047710,1.000000
608,96,0.047472,1.000000
609,97,0.047234,1.000000
610,96,0.046998,1.000000
611,97,0.046763,1.000000
612,97,0.046529,1.000000
613,97,0.046297,1.000000
614,97,0.046065,1.000000
615,96,0.045835,1.000000
616,96,0.045606,1.000000
617,97,0.045378,1.000000
618,98,0.045151,1.000000
619,99,0.044925,1.000000
620,97,0.044700,1.000000
621,97,0.044477,1.000000
622,98,0.044254,1.000000
623,97,0.044033,1.000000
624,97,0.043813,1.000000
625,99,0.043594,1.000000
626,124,0.043376,1.000000
627,94,0.043159,1.000000
628,96,0.042943,1.000000
629,97,0.042729,1.000000
630,96,0.042515,1.000000
631,94,0.042302,1.000000
632,98,0.042091,1.000000
633,97,0.041880,1.000000
634,94,0.041671,1.000000
635,96,0.041463,1.000000
636,92,0.041255,1.000000
637,97,0.041049,1.000000
638,94,0.040844,1.000000
639,96,0.040640,1.000000
640,97,0.040436,1.000000
641,96,0.040234,1.000000
642,97,0.040033,1.000000
643,97,0.039833,1.000000
644,97,0.039634,1.000000
645,97,0.039435,1.000000
646,98,0.039238,1.000000
647,93,0.039042,1.000000
648,99,0.038847,1.000000
649,96,0.038653,1.000000
650,96,0.038459,1.000000
651,97,0.038267,1.000000
652,92,0.038076,1.000000
653,97,0.037885,1.000000
654,97,0.037696,1.000000
655,97,0.037507,1.000000
656,97,0.037320,1.000000
657,96,0.037133,1.000000
658,97,0.036948,1.000000
659,98,0.036763,1.000000
660,98,0.036579,1.000000
661,97,0.036396,1.000000
662,97,0.036214,1.000000
663,97,0.036033,1.000000
664,96,0.035853,1.000000
665,97,0.035674,1.000000
666,99,0.035495,1.000000
667,96,0.035318,1.000000
668,97,0.035141,1.000000
669,96,0.034966,1.000000
670,98,0.034791,1.000000
671,97,0.034617,1.000000
672,97,0.034444,1.000000
673,96,0.034272,1.000000
674,97,0.034100,1.000000
675,94,0.033930,1.000000
676,95,0.033760,1.000000
677,94,0.033591,1.000000
678,97,0.033423,1.000000
679,99,0.033256,1.000000
680,96,0.033090,1.000000
681,94,0.032924,1.000000
682,97,0.032760,1.000000
683,91,0.032596,1.000000
684,96,0.032433,1.000000
685,96,0.032271,1.000000
686,99,0.032109,1.000000
687,96,0.031949,1.000000
688,90,0.031789,1.000000
689,92,0.031630,1.000000
690,99,0.031472,1.000000
691,97,0.031315,1.000000
692,99,0.031158,1.000000
693,98,0.031002,1.000000
694,99,0.030847,1.000000
695,99,0.030693,1.000000
696,97,0.030540,1.000000
697,99,0.030387,1.000000
698,96,0.030235,1.000000
699,98,0.030084,1.000000
700,96,0.029933,1.000000
701,99,0.029784,1.000000
702,99,0.029635,1.000000
703,99,0.029487,1.000000
704,97,0.029339,1.000000
705,97,0.029193,1.000000
706,99,0.029047,1.000000
707,99,0.028901,1.000000
708,97,0.028757,1.000000
709,99,0.028613,1.000000
710,98,0.028470,1.000000
711,99,0.028328,1.000000
712,97,0.028186,1.000000
713,97,0.028045,1.000000
714,98,0.027905,1.000000
715,99,0.027765,1.000000
716,97,0.027626,1.000000
717,98,0.027488,1.000000
718,99,0.027351,1.000000
719,97,0.027214,1.000000
720,97,0.027078,1.000000
721,98,0.026943,1.000000
722,99,0.026808,1.000000
723,97,0.026674,1.000000
724,97,0.026541,1.000000
725,99,0.026408,1.000000
726,99,0.026276,1.000000
727,99,0.026144,1.000000
728,99,0.026014,1.000000
729,99,0.025884,1.000000
730,98,0.025754,1.000000
731,97,0.025625,1.000000
732,99,0.025497,1.000000
733,99,0.025370,1.000000
734,99,0.025243,1.000000
735,97,0.025117,1.000000
736,99,0.024991,1.000000
737,99,0.024866,1.000000
738,99,0.024742,1.000000
739,99,0.024618,1.000000
740,97,0.024495,1.000000
741,99,0.024373,1.000000
742,97,0.024251,1.000000
743,94,0.024130,1.000000
744,99,0.024009,1.000000
745,99,0.023889,1.000000
746,96,0.023769,1.000000
747,99,0.023651,1.000000
748,99,0.023532,1.000000
749,96,0.023415,1.000000
750,121,0.023298,1.000000
751,99,0.023181,1.000000
752,99,0.023065,1.000000
753,98,0.022950,1.000000
754,96,0.022835,1.000000
755,96,0.022721,1.000000
756,96,0.022607,1.000000
757,96,0.022494,1.000000
758,99,0.022382,1.000000
759,99,0.022270,1.000000
760,99,0.022159,1.000000
761,99,0.022048,1.000000
762,97,0.021938,1.000000
763,99,0.021828,1.000000
764,96,0.021719,1.000000
765,99,0.021610,1.000000
766,98,0.021502,1.000000
767,99,0.021395,1.000000
768,95,0.021288,1.000000
769,99,0.021181,1.000000
770,99,0.021075,1.000000
771,99,0.020970,1.000000
772,99,0.020865,1.000000
773,117,0.020761,1.000000
774,99,0.020657,1.000000
775,99,0.020554,1.000000
776,99,0.020451,1.000000
777,99,0.020349,1.000000
778,99,0.020247,1.000000
779,99,0.020146,1.000000
780,99,0.020045,1.000000
781,99,0.019945,1.000000
782,99,0.019845,1.000000
783,99,0.019746,1.000000
784,99,0.019647,1.000000
785,99,0.019549,1.000000
786,99,0.019451,1.000000
787,99,0.019354,1.000000
788,99,0.019257,1.000000
789,99,0.019161,1.000000
790,97,0.019065,1.000000
791,98,0.018970,1.000000
792,99,0.018875,1.000000
793,99,0.018780,1.000000
794,97,0.018686,1.000000
795,99,0.018593,1.000000
796,98,0.018500,1.000000
797,99,0.018408,1.000000
798,99,0.018315,1.000000
799,99,0.018224,1.000000
800,97,0.018133,1.000000
801,97,0.018042,1.000000
802,98,0.017952,1.000000
803,96,0.017862,1.000000
804,98,0.017773,1.000000
805,99,0.017684,1.000000
806,99,0.017596,1.000000
807,99,0.017508,1.000000
808,95,0.017420,1.000000
809,97,0.017333,1.000000
810,99,0.017246,1.000000
811,99,0.017160,1.000000
812,99,0.017074,1.000000
813,99,0.016989,1.000000
814,99,0.016904,1.000000
815,99,0.016819,1.000000
816,99,0.016735,1.000000
817,99,0.016652,1.000000
818,99,0.016568,1.000000
819,99,0.016486,1.000000
820,99,0.016403,1.000000
821,98,0.016321,1.000000
822,99,0.016239,1.000000
823,99,0.016158,1.000000
824,99,0.016078,1.000000
825,99,0.015997,1.000000
826,99,0.015917,1.000000
827,99,0.015838,1.000000
828,99,0.015758,1.000000
829,99,0.015680,1.000000
830,99,0.015601,1.000000
831,99,0.015523,1.000000
832,99,0.015446,1.000000
833,99,0.015368,1.000000
834,99,0.015291,1.000000
835,96,0.015215,1.000000
836,98,0.015139,1.000000
837,97,0.015063,1.000000
838,90,0.014988,1.000000
839,99,0.014913,1.000000
840,98,0.014838,1.000000
841,99,0.014764,1.000000
842,99,0.014690,1.000000
843,99,0.014617,1.000000
844,96,0.014544,1.000000
845,98,0.014471,1.000000
846,99,0.014399,1.000000
847,99,0.014327,1.000000
848,97,0.014255,1.000000
849,99,0.014184,1.000000
850,99,0.014113,1.000000
851,97,0.014042,1.000000
852,99,0.013972,1.000000
853,97,0.013902,1.000000
854,97,0.013833,1.000000
855,97,0.013764,1.000000
856,99,0.013695,1.000000
857,99,0.013626,1.000000
858,98,0.013558,1.000000
859,99,0.013490,1.000000
860,99,0.013423,1.000000
861,99,0.013356,1.000000
862,96,0.013289,1.000000
863,99,0.013223,1.000000
864,99,0.013157,1.000000
865,99,0.013091,1.000000
866,98,0.013025,1.000000
867,99,0.012960,1.000000
868,99,0.012895,1.000000
869,99,0.012831,1.000000
870,99,0.012767,1.000000
871,99,0.012703,1.000000
872,99,0.012639,1.000000
873,99,0.012576,1.000000
874,98,0.012513,1.000000
875,98,0.012451,1.000000
876,99,0.012389,1.000000
877,99,0.012327,1.000000
878,99,0.012265,1.000000
879,99,0.012204,1.000000
880,99,0.012143,1.000000
881,99,0.012082,1.000000
882,99,0.012021,1.000000
883,99,0.011961,1.000000
884,99,0.011902,1.000000
885,99,0.011842,1.000000
886,99,0.011783,1.000000
887,99,0.011724,1.000000
888,99,0.011665,1.000000
889,99,0.011607,1.000000
890,99,0.011549,1.000000
891,99,0.011491,1.000000
892,99,0.011434,1.000000
893,99,0.011377,1.000000
894,99,0.011320,1.000000
895,99,0.011263,1.000000
896,99,0.011207,1.000000
897,99,0.011151,1.000000
898,97,0.011095,1.000000
899,98,0.011040,1.000000
900,115,0.010984,1.000000
901,99,0.010929,1.000000
902,99,0.010875,1.000000
903,99,0.010820,1.000000
904,99,0.010766,1.000000
905,99,0.010712,1.000000
906,99,0.010659,1.000000
907,99,0.010606,1.000000
908,99,0.010553,1.000000
909,99,0.010500,1.000000
910,99,0.010447,1.000000
911,99,0.010395,1.000000
912,99,0.010343,1.000000
913,99,0.010291,1.000000
914,99,0.010240,1.000000
915,99,0.010189,1.000000
916,99,0.010138,1.000000
917,99,0.010087,1.000000
918,99,0.010037,1.000000
919,99,0.010000,1.000000
920,99,0.010000,1.000000
921,99,0.010000,1.000000
922,99,0.010000,1.000000
923,99,0.010000,1.000000
924,99,0.010000,1.000000
925,99,0.010000,1.000000
926,99,0.010000,1.000000
927,99,0.010000,1.000000
928,99,0.010000,1.000000
929,99,0.010000,1.000000
930,99,0.010000,1.000000
931,99,0.010000,1.000000
932,99,0.010000,1.000000
933,99,0.010000,1.000000
934,99,0.010000,1.000000
935,99,0.010000,1.000000
936,99,0.010000,1.000000
937,99,0.010000,1.000000
938,99,0.010000,1.000000
939,99,0.010000,1.000000
940,99,0.010000,1.000000
941,99,0.010000,1.000000
942,99,0.010000,1.000000
943,99,0.010000,1.000000
944,99,0.010000,1.000000
945,99,0.010000,1.000000
946,98,0.010000,1.000000
947,99,0.010000,1.000000
948,99,0.010000,1.000000
949,99,0.010000,1.000000
950,99,0.010000,1.000000
951,99,0.010000,1.000000
952,99,0.010000,1.000000
953,99,0.010000,1.000000
954,97,0.010000,1.000000
955,99,0.010000,1.000000
956,97,0.010000,1.000000
957,99,0.010000,1.000000
958,99,0.010000,1.000000
959,99,0.010000,1.000000
960,99,0.010000,1.000000
961,99,0.010000,1.000000
962,99,0.010000,1.000000
963,99,0.010000,1.000000
964,99,0.010000,1.000000
965,96,0.010000,1.000000
966,99,0.010000,1.000000
967,99,0.010000,1.000000
968,99,0.010000,1.000000
969,99,0.010000,1.000000
970,99,0.010000,1.000000
971,99,0.010000,1.000000
972,99,0.010000,1.000000
973,99,0.010000,1.000000
974,99,0.010000,1.000000
975,98,0.010000,1.000000
976,99,0.010000,1.000000
977,99,0.010000,1.000000
